星期,年月日,睡眠分数,睡眠时长(分钟),轻度睡眠,深睡,休息心率,睡觉开始时间,睡觉结束时间
7,2022/6/4,94,394,22%,25%,91%,0:11,6:45
7,2022/3/5,74,444,4%,26%,96%,2:39,10:03
3,2022/7/3,83,424,5%,22%,84%,11:28,18:32
2,2022/2/18,90,475,11%,15%,73%,13:08,21:03
6,2022/7/21,87,531,17%,5%,72%,21:40,6:31
7,2022/4/22,80,370,14%,21%,77%,19:56,2:06
6,2022/1/7,90,312,16%,22%,81%,18:57,0:09
3,2022/6/6,94,352,9%,20%,90%,13:16,19:08
3,2022/7/12,99,389,15%,24%,83%,3:43,10:12
3,2022/4/12,72,553,7%,23%,85%,20:26,5:39
4,2022/4/7,85,588,11%,9%,78%,20:18,6:06
6,2022/5/31,94,370,18%,5%,79%,23:01,5:11
5,2022/8/27,76,301,2%,23%,96%,18:17,23:18
1,2022/7/1,81,541,5%,13%,94%,22:40,7:41
6,2022/7/9,80,494,27%,12%,88%,17:39,1:53
4,2022/1/26,90,422,25%,23%,86%,9:07,16:09
6,2022/2/6,93,411,21%,14%,74%,11:20,18:11
5,2022/3/14,98,439,1%,21%,80%,8:05,15:24
2,2022/7/14,90,438,3%,13%,85%,0:12,7:30
7,2022/7/8,78,522,22%,2%,71%,12:08,20:50
5,2022/8/7,88,425,24%,12%,99%,2:14,9:19
4,2022/8/11,90,440,27%,12%,99%,0:22,7:42
3,2022/8/21,81,551,14%,10%,82%,20:16,5:27
5,2022/5/16,73,403,4%,1%,73%,16:25,23:08
6,2022/8/7,73,478,29%,21%,95%,14:50,22:48
2,2022/8/31,75,331,16%,23%,74%,2:45,8:16
6,2022/4/23,84,591,24%,20%,71%,6:59,16:50
1,2022/7/10,85,406,5%,5%,99%,22:27,5:13
4,2022/6/27,99,309,27%,13%,76%,20:42,1:51
6,2022/5/28,77,595,25%,28%,75%,3:10,13:05
2,2022/2/8,97,391,23%,24%,95%,15:22,21:53
5,2022/5/20,99,583,28%,2%,99%,21:03,6:46
7,2022/4/19,88,505,7%,22%,85%,8:57,17:22
4,2022/3/11,82,514,26%,26%,82%,5:53,14:27
1,2022/1/2,71,310,9%,24%,94%,21:15,2:25
2,2022/5/5,78,420,30%,19%,92%,14:44,21:44
1,2022/4/25,82,336,3%,29%,80%,19:49,1:25
5,2022/7/19,81,591,0%,9%,87%,18:37,4:28
3,2022/3/6,87,426,18%,28%,100%,19:11,2:17
3,2022/7/16,85,583,25%,11%,89%,6:34,16:17
5,2022/1/25,83,372,12%,16%,93%,5:08,11:20
3,2022/1/23,83,567,3%,3%,96%,2:13,11:40
7,2022/8/25,73,546,28%,16%,83%,6:20,15:26
6,2022/7/11,72,534,13%,21%,74%,1:29,10:23
7,2022/6/7,85,501,20%,8%,75%,20:09,4:30
6,2022/6/27,93,565,2%,11%,86%,6:05,15:30
2,2022/7/26,73,406,11%,14%,84%,22:05,4:51
6,2022/5/26,73,428,29%,4%,83%,8:05,15:13
3,2022/6/23,96,359,8%,22%,79%,1:31,7:30
1,2022/4/18,74,444,17%,6%,87%,13:03,20:27
6,2022/4/30,97,469,25%,0%,81%,5:23,13:12
5,2022/5/25,97,530,9%,1%,93%,16:08,0:58
6,2022/6/22,90,336,11%,21%,78%,8:10,13:46
6,2022/5/8,73,301,13%,9%,93%,20:04,1:05
6,2022/5/24,98,478,13%,2%,93%,13:55,21:53
4,2022/3/27,70,474,5%,30%,71%,12:52,20:46
3,2022/5/12,74,490,19%,26%,92%,6:55,15:05
2,2022/8/14,86,518,14%,27%,79%,9:55,18:33
3,2022/4/23,76,445,13%,1%,78%,7:14,14:39
4,2022/4/9,72,426,25%,20%,74%,11:31,18:37
6,2022/2/28,90,599,25%,17%,71%,20:37,6:36
5,2022/3/3,74,389,2%,13%,91%,12:26,18:55
7,2022/2/9,89,560,26%,30%,89%,21:42,7:02
5,2022/2/2,96,597,24%,13%,79%,17:57,3:54
2,2022/5/30,99,489,2%,17%,92%,20:43,4:52
5,2022/2/2,91,371,5%,26%,98%,23:44,5:55
3,2022/3/22,70,520,15%,13%,82%,19:54,4:34
2,2022/4/1,84,454,25%,23%,76%,11:31,19:05
7,2022/6/12,92,388,7%,23%,94%,22:36,5:04
7,2022/7/14,79,537,2%,21%,91%,2:14,11:11
7,2022/8/29,93,449,1%,19%,76%,23:14,6:43
4,2022/5/29,95,485,15%,10%,73%,15:50,23:55
6,2022/7/1,93,373,10%,28%,74%,3:45,9:58
7,2022/1/25,79,410,23%,29%,99%,15:53,22:43
7,2022/5/19,96,391,6%,3%,84%,9:42,16:13
1,2022/6/29,85,404,30%,25%,70%,10:32,17:16
7,2022/5/13,78,490,27%,23%,86%,3:16,11:26
4,2022/5/20,99,489,25%,17%,81%,0:02,8:11
6,2022/6/9,80,509,30%,28%,74%,2:04,10:33
2,2022/5/1,70,352,1%,20%,80%,20:26,2:18
3,2022/3/29,77,323,9%,2%,97%,15:59,21:22
4,2022/4/24,71,484,5%,17%,73%,16:52,0:56
5,2022/1/5,71,382,0%,17%,86%,1:16,7:38
1,2022/2/10,88,545,14%,30%,79%,13:31,22:36
7,2022/8/6,90,307,27%,17%,97%,11:40,16:47
3,2022/5/2,95,585,16%,5%,86%,7:06,16:51
2,2022/4/3,95,460,5%,16%,88%,2:06,9:46
5,2022/1/15,74,367,19%,8%,89%,8:22,14:29
5,2022/3/31,74,599,14%,2%,88%,5:23,15:22
2,2022/7/16,87,382,17%,4%,80%,12:43,19:05
6,2022/2/18,97,488,12%,23%,74%,16:59,1:07
7,2022/6/26,89,351,25%,28%,89%,12:54,18:45
5,2022/6/17,88,363,9%,26%,81%,1:01,7:04
3,2022/1/8,85,435,28%,6%,97%,19:12,2:27
1,2022/8/6,79,418,25%,8%,83%,7:31,14:29
1,2022/1/2,97,562,9%,26%,84%,5:20,14:42
6,2022/5/28,99,400,6%,17%,85%,6:24,13:04
6,2022/5/5,85,524,29%,26%,71%,9:48,18:32
5,2022/2/6,87,430,5%,0%,96%,4:38,11:48
7,2022/2/21,76,302,25%,7%,97%,22:54,3:56
4,2022/6/9,96,460,7%,5%,85%,21:24,5:04
6,2022/6/3,93,343,19%,25%,77%,5:14,10:57
5,2022/6/7,91,598,13%,20%,76%,17:58,3:56
5,2022/4/20,95,473,22%,5%,99%,3:17,11:10
6,2022/8/26,86,537,10%,0%,93%,9:08,18:05
6,2022/4/27,92,371,26%,22%,72%,12:18,18:29
3,2022/6/7,97,371,25%,2%,97%,1:47,7:58
2,2022/1/6,81,465,27%,17%,75%,0:01,7:46
2,2022/5/11,79,557,5%,30%,85%,22:01,7:18
5,2022/8/30,86,304,0%,14%,73%,22:18,3:22
3,2022/7/3,84,516,7%,30%,84%,22:46,7:22
4,2022/8/23,85,343,1%,9%,96%,7:50,13:33
4,2022/1/12,90,330,28%,22%,78%,20:33,2:03
2,2022/3/11,98,523,15%,10%,93%,16:58,1:41
2,2022/7/28,80,424,17%,21%,98%,7:33,14:37
1,2022/5/10,90,342,29%,8%,78%,10:39,16:21
3,2022/4/4,98,589,2%,9%,86%,19:22,5:11
7,2022/7/2,83,368,24%,3%,75%,22:07,4:15
5,2022/7/8,85,482,20%,10%,83%,0:13,8:15
6,2022/1/10,92,311,1%,24%,97%,23:46,4:57
2,2022/5/9,94,483,15%,1%,91%,14:12,22:15
4,2022/5/14,76,432,11%,28%,89%,8:23,15:35
3,2022/7/30,78,411,13%,18%,97%,15:04,21:55
7,2022/4/8,73,570,1%,12%,80%,7:17,16:47
1,2022/8/31,92,383,17%,25%,88%,19:02,1:25
6,2022/5/13,94,446,7%,5%,90%,0:56,8:22
2,2022/3/29,89,377,17%,0%,89%,22:29,4:46
4,2022/4/9,70,370,6%,17%,91%,21:59,4:09
6,2022/1/12,92,352,29%,25%,75%,0:12,6:04
5,2022/1/16,89,528,14%,22%,94%,4:17,13:05
1,2022/8/19,91,511,11%,7%,86%,2:19,10:50
5,2022/8/8,94,442,16%,25%,83%,17:44,1:06
7,2022/4/16,94,555,1%,10%,83%,14:07,23:22
3,2022/5/28,78,542,15%,2%,72%,19:14,4:16
7,2022/8/11,90,374,19%,15%,75%,1:12,7:26
3,2022/7/21,95,394,10%,8%,95%,7:07,13:41
7,2022/8/1,81,588,24%,15%,100%,0:18,10:06
1,2022/6/22,70,551,14%,20%,87%,14:29,23:40
7,2022/3/10,76,319,5%,17%,74%,16:26,21:45
7,2022/6/4,99,448,14%,2%,97%,3:49,11:17
6,2022/7/29,79,546,1%,7%,82%,18:53,3:59
5,2022/1/31,84,300,13%,2%,73%,9:22,14:22
6,2022/4/11,97,509,0%,8%,93%,21:36,6:05
3,2022/6/28,72,344,4%,22%,87%,23:03,4:47
7,2022/6/20,78,357,4%,1%,88%,21:17,3:14
7,2022/1/22,98,572,6%,22%,71%,14:59,0:31
3,2022/1/14,93,425,28%,21%,92%,17:13,0:18
3,2022/8/8,70,559,24%,7%,89%,21:42,7:01
6,2022/4/25,81,409,30%,17%,91%,4:03,10:52
3,2022/1/30,72,380,2%,24%,90%,15:15,21:35
5,2022/5/1,72,403,25%,13%,95%,2:46,9:29
6,2022/1/19,82,538,17%,21%,81%,21:30,6:28
4,2022/6/18,84,414,18%,29%,78%,2:32,9:26
3,2022/7/19,77,561,19%,12%,88%,1:26,10:47
4,2022/7/8,81,506,4%,11%,100%,16:46,1:12
6,2022/7/10,81,502,22%,6%,78%,8:57,17:19
1,2022/8/16,80,533,30%,5%,83%,14:51,23:44
7,2022/8/29,75,430,16%,6%,94%,1:30,8:40
6,2022/2/9,78,353,25%,30%,98%,14:37,20:30
6,2022/6/21,83,503,9%,20%,96%,21:06,5:29
6,2022/8/18,94,538,22%,10%,78%,23:11,8:09
2,2022/3/6,75,360,24%,13%,77%,10:27,16:27
7,2022/3/21,94,579,12%,28%,96%,1:14,10:53
3,2022/4/7,70,384,1%,26%,84%,1:44,8:08
6,2022/6/17,79,503,18%,9%,75%,15:59,0:22
4,2022/3/13,78,301,5%,27%,70%,1:28,6:29
4,2022/7/5,94,578,20%,20%,78%,3:43,13:21
4,2022/7/13,92,385,30%,23%,87%,23:52,6:17
6,2022/2/24,97,362,4%,28%,74%,19:35,1:37
6,2022/5/21,73,322,21%,24%,93%,9:46,15:08
1,2022/5/3,73,378,18%,21%,90%,1:19,7:37
5,2022/1/8,92,507,19%,12%,71%,23:58,8:25
3,2022/1/27,79,568,1%,23%,91%,17:30,2:58
2,2022/8/26,89,563,8%,3%,75%,18:06,3:29
2,2022/3/14,76,540,7%,0%,84%,15:34,0:34
2,2022/2/14,98,539,24%,4%,88%,20:04,5:03
2,2022/6/7,79,570,11%,5%,76%,16:28,1:58
2,2022/5/25,77,483,5%,30%,70%,5:10,13:13
2,2022/4/24,80,305,11%,17%,89%,20:40,1:45
7,2022/3/15,84,346,13%,3%,72%,15:11,20:57
3,2022/4/29,84,450,21%,10%,91%,11:09,18:39
4,2022/6/24,71,435,14%,26%,98%,5:57,13:12
2,2022/1/22,99,448,21%,8%,85%,22:41,6:09
5,2022/2/14,98,438,20%,15%,89%,2:26,9:44
2,2022/3/26,92,479,11%,7%,82%,1:24,9:23
3,2022/7/2,87,597,14%,25%,84%,19:52,5:49
4,2022/5/19,78,364,22%,14%,79%,20:53,2:57
5,2022/5/29,84,535,2%,18%,89%,6:42,15:37
7,2022/5/8,74,421,25%,8%,89%,21:10,4:11
2,2022/2/18,88,545,1%,8%,98%,7:02,16:07
1,2022/8/12,93,501,7%,14%,100%,0:22,8:43
5,2022/5/3,74,364,23%,10%,85%,16:49,22:53
3,2022/5/4,74,499,7%,28%,83%,20:43,5:02
5,2022/3/25,98,382,0%,7%,87%,20:54,3:16
5,2022/8/23,96,514,1%,2%,84%,2:50,11:24
4,2022/2/12,92,427,26%,15%,75%,22:51,5:58
5,2022/7/26,76,526,30%,18%,79%,23:37,8:23
6,2022/2/1,82,314,30%,27%,94%,11:37,16:51
3,2022/3/25,74,343,23%,5%,87%,21:29,3:12
6,2022/1/22,85,401,7%,6%,72%,22:35,5:16
7,2022/2/12,73,563,30%,17%,72%,18:47,4:10
3,2022/2/15,70,511,21%,1%,81%,18:58,3:29
4,2022/2/21,92,474,0%,25%,97%,5:30,13:24
2,2022/4/28,73,370,20%,19%,70%,13:26,19:36
7,2022/7/26,82,403,25%,7%,98%,2:28,9:11
5,2022/3/14,95,545,16%,18%,88%,20:42,5:47
3,2022/1/5,71,387,28%,3%,99%,7:42,14:09
5,2022/3/19,81,354,19%,1%,71%,1:26,7:20
5,2022/2/21,89,389,16%,12%,96%,20:26,2:55
4,2022/1/26,93,474,16%,25%,98%,21:40,5:34
2,2022/8/1,82,429,23%,0%,86%,1:39,8:48
7,2022/1/28,81,578,22%,20%,94%,22:29,8:07
6,2022/5/4,71,386,20%,25%,70%,2:04,8:30
5,2022/2/22,75,512,12%,20%,93%,15:57,0:29
6,2022/1/13,85,514,2%,29%,70%,8:30,17:04
1,2022/5/31,92,373,15%,27%,82%,9:14,15:27
1,2022/7/30,78,376,9%,30%,73%,9:12,15:28
3,2022/4/22,98,405,14%,15%,72%,22:16,5:01
3,2022/5/28,72,578,22%,20%,97%,20:46,6:24
3,2022/3/23,86,566,3%,22%,86%,2:32,11:58
2,2022/3/4,88,309,29%,22%,88%,17:26,22:35
3,2022/5/20,81,556,11%,4%,70%,15:18,0:34
5,2022/2/22,86,437,19%,13%,93%,10:12,17:29
2,2022/2/2,73,324,27%,8%,70%,22:59,4:23
7,2022/7/5,74,522,21%,19%,92%,5:44,14:26
7,2022/7/17,87,489,27%,23%,74%,22:10,6:19
3,2022/2/4,80,458,21%,2%,76%,9:47,17:25
7,2022/1/31,75,475,13%,13%,91%,6:22,14:17
4,2022/2/19,99,494,0%,3%,92%,17:35,1:49
2,2022/4/7,79,490,6%,10%,82%,23:56,8:06
4,2022/3/10,87,569,2%,10%,99%,15:31,1:00
4,2022/1/8,70,520,5%,27%,95%,2:45,11:25
7,2022/2/18,71,319,29%,9%,82%,23:45,5:04
6,2022/8/25,70,573,16%,22%,85%,11:57,21:30
2,2022/5/8,80,586,19%,6%,92%,18:48,4:34
1,2022/2/1,76,591,29%,12%,74%,6:51,16:42
5,2022/7/31,70,469,22%,12%,81%,14:36,22:25
5,2022/4/22,82,469,8%,5%,99%,22:36,6:25
6,2022/6/8,90,527,15%,4%,75%,8:09,16:56
6,2022/1/13,94,329,9%,4%,89%,16:13,21:42
4,2022/6/20,70,573,4%,27%,90%,9:51,19:24
1,2022/5/22,75,538,13%,2%,96%,17:26,2:24
2,2022/5/31,78,544,1%,24%,92%,22:33,7:37
6,2022/1/14,96,464,11%,19%,74%,0:12,7:56
6,2022/2/1,72,596,8%,7%,92%,0:17,10:13
4,2022/3/19,77,566,22%,23%,91%,3:49,13:15
2,2022/6/4,71,457,10%,13%,79%,7:26,15:03
1,2022/4/19,82,452,1%,26%,99%,10:49,18:21
7,2022/1/3,90,338,27%,28%,88%,7:07,12:45
4,2022/3/19,87,576,0%,19%,87%,20:47,6:23
7,2022/5/1,89,511,15%,22%,94%,6:35,15:06
7,2022/1/11,85,549,20%,3%,94%,12:46,21:55
1,2022/8/14,98,378,22%,19%,76%,9:18,15:36
7,2022/7/12,77,410,10%,16%,100%,15:29,22:19
5,2022/6/3,88,348,18%,20%,93%,19:03,0:51
3,2022/3/31,81,595,24%,11%,95%,14:50,0:45
5,2022/2/13,92,303,16%,18%,82%,12:39,17:42
5,2022/3/11,73,358,1%,10%,98%,5:38,11:36
2,2022/1/21,72,520,17%,7%,96%,21:37,6:17
4,2022/4/30,84,565,17%,1%,78%,11:12,20:37
3,2022/1/5,98,428,3%,28%,83%,21:33,4:41
4,2022/5/22,80,549,12%,1%,80%,10:03,19:12
1,2022/8/6,94,538,11%,22%,82%,8:04,17:02
6,2022/7/14,75,304,0%,28%,81%,20:31,1:35
5,2022/1/14,96,370,14%,6%,78%,7:14,13:24
6,2022/5/30,84,511,20%,5%,75%,15:34,0:05
4,2022/8/19,73,517,0%,26%,70%,13:41,22:18
7,2022/1/25,72,564,19%,12%,87%,15:29,0:53
1,2022/2/14,71,320,1%,15%,91%,0:36,5:56
5,2022/1/7,71,324,20%,17%,79%,22:29,3:53
3,2022/3/2,81,506,30%,27%,89%,13:06,21:32
4,2022/5/7,99,595,5%,8%,73%,13:20,23:15
2,2022/7/16,82,565,23%,9%,99%,11:25,20:50
6,2022/1/22,90,447,18%,13%,80%,18:57,2:24
2,2022/4/3,84,596,27%,10%,96%,22:18,8:14
1,2022/4/1,94,358,6%,28%,90%,15:37,21:35
5,2022/1/31,88,520,25%,19%,80%,19:01,3:41
5,2022/8/8,82,432,16%,13%,75%,7:19,14:31
3,2022/1/10,87,549,27%,0%,84%,19:43,4:52
3,2022/6/18,96,439,6%,8%,86%,9:35,16:54
7,2022/1/27,70,312,2%,25%,92%,0:37,5:49
5,2022/8/6,80,515,19%,8%,99%,21:40,6:15
1,2022/4/10,71,343,7%,0%,70%,8:04,13:47
4,2022/7/16,90,499,26%,18%,87%,1:50,10:09
6,2022/3/24,73,517,20%,7%,98%,11:04,19:41
1,2022/5/29,94,374,8%,26%,86%,4:04,10:18
3,2022/6/25,71,509,24%,22%,78%,12:27,20:56
3,2022/1/28,79,495,28%,6%,72%,23:08,7:23
4,2022/2/27,72,590,15%,9%,98%,2:28,12:18
3,2022/6/17,73,454,6%,9%,80%,6:29,14:03
6,2022/4/16,86,411,10%,25%,92%,15:25,22:16
3,2022/8/22,84,342,23%,15%,84%,19:28,1:10
7,2022/2/17,94,581,5%,6%,70%,20:49,6:30
5,2022/3/15,93,549,25%,24%,99%,3:15,12:24
3,2022/4/25,85,306,28%,15%,95%,22:50,3:56
6,2022/8/14,73,521,27%,21%,97%,15:12,23:53
1,2022/7/10,95,471,14%,21%,75%,15:08,22:59
4,2022/3/20,80,494,16%,18%,97%,0:37,8:51
2,2022/5/12,92,343,19%,21%,77%,21:36,3:19
1,2022/2/8,94,519,8%,27%,96%,5:19,13:58
7,2022/5/6,93,357,28%,15%,94%,16:41,22:38
1,2022/6/2,88,493,10%,25%,91%,15:37,23:50
7,2022/8/22,86,584,14%,1%,81%,3:08,12:52
2,2022/8/7,76,543,24%,26%,74%,2:27,11:30
3,2022/5/15,73,412,26%,27%,88%,15:08,22:00
2,2022/4/2,97,539,16%,14%,90%,16:43,1:42
3,2022/7/9,92,585,9%,10%,90%,3:22,13:07
5,2022/1/14,95,540,11%,13%,91%,8:32,17:32
1,2022/5/29,84,518,15%,26%,82%,1:21,9:59
1,2022/5/31,79,300,8%,12%,91%,23:16,4:16
2,2022/1/3,80,364,5%,30%,84%,0:44,6:48
5,2022/8/18,89,324,21%,16%,96%,10:41,16:05
5,2022/8/18,88,321,27%,5%,79%,16:33,21:54
5,2022/1/4,75,484,17%,19%,76%,14:56,23:00
7,2022/8/4,92,408,24%,9%,83%,5:41,12:29
3,2022/7/30,98,573,27%,11%,72%,14:21,23:54
6,2022/4/27,93,361,14%,28%,83%,19:57,1:58
4,2022/2/17,92,375,11%,18%,95%,5:13,11:28
3,2022/6/15,92,508,19%,28%,80%,0:32,9:00
5,2022/2/15,89,400,12%,26%,81%,17:34,0:14
5,2022/6/25,99,304,4%,2%,98%,3:57,9:01
5,2022/7/30,88,311,1%,27%,89%,8:36,13:47
6,2022/7/3,84,335,10%,5%,86%,1:05,6:40
1,2022/6/21,85,481,11%,1%,88%,20:53,4:54
4,2022/7/6,92,343,6%,15%,94%,5:46,11:29
1,2022/8/3,74,562,5%,5%,95%,20:03,5:25
4,2022/1/18,70,461,14%,26%,79%,13:19,21:00
1,2022/2/22,95,354,22%,19%,75%,16:27,22:21
7,2022/4/22,87,346,17%,6%,72%,18:50,0:36
6,2022/8/13,92,598,0%,24%,91%,22:37,8:35
3,2022/8/10,73,511,18%,6%,70%,19:39,4:10
7,2022/3/28,73,350,19%,21%,99%,4:05,9:55
4,2022/8/4,89,379,28%,22%,94%,15:31,21:50
6,2022/5/11,82,321,15%,14%,100%,16:40,22:01
4,2022/2/26,98,404,2%,4%,85%,18:56,1:40
3,2022/3/24,72,398,4%,5%,95%,7:09,13:47
2,2022/5/23,77,344,17%,12%,100%,22:04,3:48
7,2022/5/27,79,343,4%,26%,77%,22:25,4:08
3,2022/1/8,99,380,17%,11%,88%,14:32,20:52
